
NOTICE: Existing SQLite export found: E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite
        It is assumed file was previously exported from: E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_gpu_kern_gb_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
0.3,7692586,84,91578.4,99272.5,63451,111704,17902.3,  12 2048    1, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.3,7628528,20,381426.4,371987.0,364067,580211,47002.9,73728    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.3,7335489,20,366774.5,344981.0,339430,775907,96387.0,   1  256  256, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.3,6846317,44,155598.1,147653.0,133046,515032,55643.9,2048    1    1,1024    1    1,"void norm_f32<(int)1024>(const float *, float *, int, long long, long long, long long, float)"
0.3,6654337,40,166358.4,166115.0,164467,168723,1396.0,30720    1    1, 256    1    1,"void concat_cont<unsigned int, (int)2>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
0.3,6602619,10,660261.9,660252.5,651245,667692,5221.7,   2  512  128, 128    1    1,"void k_bin_bcast<&op_mul, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.3,6532406,27,241941.0,224910.0,221038,659435,83824.7, 512   32    1, 512    1    1,"void soft_max_f32<(bool)1, (int)512, (int)512, float>(const float *, const T4 *, const float *, float *, soft_max_params)"
0.2,5883143,22,267415.6,265467.0,55803,481977,215197.4,  36    1    1,  32    8    1,"void mul_mat_q<(ggml_type)14, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
0.2,5075858,5,1015171.6,1013393.0,1011697,1019760,3694.8,131072    1    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
0.2,4719085,19,248372.9,247661.0,246125,254092,1936.5,  32    4    2, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_tn_align8>(T1::Params)
0.2,4483555,80,56044.4,49756.0,48092,319080,37871.9,2560    6    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.2,4417987,2,2208993.5,2208993.5,2138807,2279180,99258.7,   5  256  256, 256    1    1,"void im2col_kernel<__half>(const float *, T1 *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, int, int, int, int, int, int)"
0.2,4403341,20,220167.0,219247.0,216016,233422,3838.0,2048   18    1, 128    1    1,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)0>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
0.2,4237900,27,156959.3,157108.0,155411,159924,1018.0,32768    1    1, 256    1    1,"scale_f32(const float *, float *, float, float, long long)"
0.2,4018483,200,20092.4,20095.0,19646,20318,91.3,10240    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.2,3915827,20,195791.4,195473.0,192849,209296,3339.1,  24 2560    1, 256    1    1,"void concat_non_cont<unsigned int, (int)2>(const char *, const char *, char *, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)"
0.2,3833453,27,141979.7,126326.0,124310,556116,82772.6,  16    1   32, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_256x64_16x4_tn_align4>(T1::Params)
0.2,3800436,12,316703.0,317767.0,310439,319495,2921.3,65536    1    1, 256    1    1,"void convert_unary<__half, float>(const void *, T2 *, long long, long long, long long, uint3, long long, long long, long long)"
0.1,3635779,1,3635779.0,3635779.0,3635779,3635779,0.0,  16  256    1, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_tn_align8>(T1::Params)
0.1,3415786,58,58892.9,58907.0,57947,60155,573.1,32768    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.1,3392886,1,3392886.0,3392886.0,3392886,3392886,0.0,  32   64    1, 128    1    1,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_tn_align8>(T1::Params)
0.1,3192584,20,159629.2,137317.0,134710,593010,102011.8,73728    1    1,  64    1    1,"void cpy_scalar<&cpy_1_scalar<float, float>>(const char *, char *, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long, long long)"
0.1,3184165,8,398020.6,352548.0,345669,725671,132440.1,65536    1    1, 256    1    1,"void unary_op_kernel<&op_silu, float>(const T2 *, T2 *, int)"
0.1,3163821,44,71905.0,67275.0,65947,272651,30974.5,  12 2048    1, 128    1    1,"void k_bin_bcast<&op_add, float, float, float, const float *>(const T2 *, const T3 *, T4 *, unsigned int, unsigned int, unsigned int, uint3, uint3, uint3, uint3, uint3, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, T5...)"
