
NOTICE: Existing SQLite export found: E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite
        It is assumed file was previously exported from: E:\flux\profiling\runs\nsys-season-001-v1\trace.nsys-rep
        Consider using --force-export=true if needed.

Processing [E:\flux\profiling\runs\nsys-season-001-v1\trace.sqlite] with [C:\Program Files\NVIDIA Corporation\Nsight Systems 2025.3.2\host-windows-x64\reports\cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
33016,32420,0,52,51,50327910.8,25961468.5,97697,248998730,64159375.2,30707.3,4414.5,2938,1290847,178288.4,50617168.5,26489042.0,69671,247212896,63923711.1,653447.8,328087.0,23070,3961385,816726.5,cudaLaunchKernel,"void group_norm_f32<(int)1024>(const float *, float *, int, int, float)"
33016,32420,0,40,40,50270274.2,51338793.0,3516539,93623953,28807962.1,7847.9,4579.0,2952,82070,12712.6,50253193.5,51328304.5,3483826,93608024,28807193.3,9232.8,9135.5,6240,12927,2934.4,cudaLaunchKernel,"void mul_mat_q_stream_k_fixup<(ggml_type)8, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
33016,32420,0,3,3,48404236.3,29184718.0,12336150,103691841,48615923.1,4047433.3,7786.0,3434,12131080,7000643.7,43628678.0,28507192.0,43034,102335808,52796282.1,728125.0,674092.0,162036,1348247,594948.6,cudaLaunchKernel,"upscale_f32(const float *, float *, int, int, int, int, int, int, int, int, float, float, float, float)"
33016,32420,0,3,2,47813479.3,52210532.0,35631714,55598192,10684831.1,18291554.3,4755.0,4691,54865217,31673721.0,43600840.5,43600840.5,35212143,51989538,11863409.8,455836.3,414880.0,216239,736390,262483.0,cudaLaunchKernel,"pad_f32(const float *, unsigned long long, unsigned long long, unsigned long long, unsigned long long, float *, int, int, int, int, int, int, int, int, int, int, int, int, bool)"
33016,32420,0,20,20,45858031.5,47146746.0,6657524,88139142,28614890.6,7688.6,5139.5,3710,27192,6016.2,45654551.6,46946074.5,6437483,87939805,28617408.8,195791.4,195473.0,192849,209296,3339.1,cudaLaunchKernel,"void concat_non_cont<unsigned int, (int)2>(const char *, const char *, char *, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long, long long, long long, long long, long long, unsigned long long, unsigned long long, unsigned long long, unsigned long long)"
33016,32420,0,40,40,43567438.9,44431192.0,2903150,86687760,28341388.5,5195.6,4582.5,2936,20175,2792.9,43395884.8,44258714.5,2718380,86515714,28341401.0,166358.4,166115.0,164467,168723,1396.0,cudaLaunchKernel,"void concat_cont<unsigned int, (int)2>(const T1 *, const T1 *, T1 *, long long, long long, long long, long long, long long, long long)"
33016,32420,0,45,45,36620663.8,27807417.0,845738,155775028,34955881.8,5004.7,4338.0,2925,15421,2281.5,35844283.6,26911470.0,593106,152698702,34484961.5,771375.6,489241.0,246125,3635779,793711.2,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_h16816gemm_128x128_64x3_tn_align8>(T1::Params)
33016,32420,0,167,167,21363036.8,19492002.0,102404,49976251,13786186.7,6587.2,4511.0,2967,59114,7048.5,21127475.9,19445801.0,925,49612274,13778384.0,228973.7,163187.0,41341,614446,152127.9,cudaLaunchKernel,"void mul_mat_q<(ggml_type)12, (int)128, (bool)0>(const char *, const int *, const int *, const int *, float *, float *, uint3, int, int, int, int, int, uint3, uint3, int, int, int, uint3, uint3, int, int, int, uint3)"
33016,32420,0,113,113,21301360.5,19683780.0,92553,49979160,13780409.1,5329.4,4257.0,2896,25660,3847.5,21289560.6,19672735.0,60334,49968331,13780260.0,6470.5,6463.0,6367,6655,56.6,cudaLaunchKernel,"void mul_mat_q_stream_k_fixup<(ggml_type)12, (int)128, (bool)0>(const int *, const int *, float *, float *, uint3, int, int, int, uint3, int, uint3, int, uint3)"
33016,32420,0,167,167,21139969.1,19452546.0,22220,49621010,13777126.1,5409.8,4269.0,2821,73698,6089.8,21123932.2,19443629.0,10659,49591257,13777837.7,10627.1,5920.0,5695,168594,13689.1,cudaLaunchKernel,"void quantize_mmq_q8_1<(mmq_q8_1_ds_layout)1>(const float *, const int *, void *, long long, long long, long long, long long, long long, int, int)"
